"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
5,499852100E-2	-1,006049991E0	4,522950172E0	9,523950577E0
7,516088600E-2	-7,690500617E-1	4,318950176E0	9,510000229E0
9,532305800E-2	-6,030000448E-1	4,312050343E0	8,667000771E0
1,154852370E-1	-5,320500135E-1	4,306950092E0	8,338950157E0
1,356474680E-1	-8,170500398E-1	4,249950409E0	8,605050087E0
1,558096320E-1	-6,030000448E-1	3,880950212E0	9,250950813E0
1,759720010E-1	-1,006049991E0	4,192049980E0	9,826050758E0
1,961341540E-1	-1,573050022E0	4,711950302E0	9,193950653E0
2,162963910E-1	-1,092000008E0	4,813050270E0	7,957950592E0
2,364585540E-1	-6,199500561E-1	4,743000031E0	6,921000481E0
2,566207180E-1	-9,460500479E-1	5,052000046E0	7,249050140E0
2,767828860E-1	-1,621050119E0	5,325000286E0	8,690999985E0
2,969453270E-1	-2,011049986E0	5,421000481E0	9,664950371E0
3,171074150E-1	-1,884000063E0	5,353950024E0	1,010100079E1
3,372696410E-1	-1,212000012E0	5,209950447E0	9,687000275E0
3,574317850E-1	-1,084950089E0	5,397000313E0	9,409049988E0
3,775941820E-1	-1,113000035E0	5,517000198E0	9,433050156E0
3,977563530E-1	-1,197000027E0	5,457000256E0	9,475950241E0
4,179184970E-1	-1,345950007E0	5,566950321E0	9,595950127E0
4,380807280E-1	-1,570950031E0	5,809050083E0	9,463950157E0
4,582428720E-1	-1,519950032E0	5,791950226E0	8,872950554E0
4,784052690E-1	-1,396050096E0	5,823000431E0	7,848000526E0
4,985674180E-1	-1,468050122E0	6,067050457E0	7,575000286E0
5,187295770E-1	-1,165950060E0	5,878050327E0	7,822050571E0
5,388917900E-1	-7,300500274E-1	5,428050041E0	8,284049988E0
5,590539350E-1	-7,039500475E-1	5,148000240E0	8,434950829E0
5,792161030E-1	-9,360000491E-1	5,227050304E0	8,513999939E0
5,993784920E-1	-1,168950081E0	5,290950298E0	8,133000374E0
6,195406490E-1	-1,444050074E0	5,514000416E0	7,462950230E0
6,397027980E-1	-1,434000015E0	5,569050312E0	6,802050114E0
6,598650400E-1	-1,410000086E0	5,665050507E0	6,751050472E0
6,800274280E-1	-1,377000093E0	5,749050140E0	7,036050320E0
7,001896580E-1	-1,282950044E0	5,866050243E0	7,410000324E0
7,203517780E-1	-9,030000567E-1	5,812950134E0	7,362000465E0
7,405139440E-1	-7,420500517E-1	5,665050507E0	7,455000401E0
7,606763220E-1	-7,620000243E-1	5,551950455E0	7,704000473E0
7,808382420E-1	-1,003050089E0	5,557050228E0	8,185950279E0
8,010006350E-1	-1,260000110E0	5,593050480E0	8,197950363E0
8,211627920E-1	-1,389000058E0	5,611950397E0	8,250000000E0
8,413250180E-1	-1,366950035E0	5,682000160E0	8,204999924E0
8,614871740E-1	-1,537050128E0	5,998050213E0	8,323950768E0
8,816493230E-1	-1,554000020E0	6,328050137E0	8,044050217E0
9,018116810E-1	-1,384050012E0	6,538950443E0	7,245000362E0
9,219739050E-1	-1,470000029E0	6,751950264E0	6,900000095E0
9,421360580E-1	-1,374000072E0	6,964950562E0	6,909000397E0
9,622984280E-1	-1,417950034E0	6,972000122E0	7,182000160E0
9,824605840E-1	-1,365000010E0	6,751950264E0	7,800000191E0
1,002622726E0	-1,273950100E0	6,319050312E0	8,427000046E0
1,022784948E0	-1,324050069E0	6,235050201E0	8,824950218E0
1,042947109E0	-1,171050072E0	6,357000351E0	8,173950195E0
1,063109481E0	-8,980500698E-1	6,453000069E0	7,105950356E0
1,083271406E0	-8,620500565E-1	6,697050095E0	6,352050304E0
1,103433779E0	-1,111050010E0	6,843000412E0	6,475950241E0
1,123596001E0	-1,353000045E0	6,607950211E0	7,105950356E0
1,143758141E0	-1,321950078E0	6,139050484E0	7,498050213E0
1,163920523E0	-1,321950078E0	5,683950424E0	8,085000038E0
1,184082696E0	-1,101000071E0	5,404050350E0	8,395950317E0
1,204244932E0	-6,870000362E-1	5,260050297E0	7,783050537E0
1,224407033E0	-3,450000286E-1	5,290950298E0	6,793950558E0
1,244569274E0	-5,170500278E-1	5,619000435E0	6,301050186E0
1,264731659E0	-9,049500227E-1	6,036000252E0	6,100050449E0
1,284893826E0	-5,170500278E-1	6,022050381E0	5,547000408E0
1,305056076E0	-2,595000155E-2	5,968950272E0	5,475000381E0
1,325218230E0	2,505000122E-2	6,052950382E0	5,782050133E0
1,345380372E0	-1,890000105E-1	6,058050156E0	6,628950119E0
1,365542526E0	-7,620000243E-1	6,141000271E0	7,708950520E0
1,385704896E0	-1,267050028E0	5,916000366E0	9,055050850E0
1,405867053E0	-1,312050104E0	5,494950294E0	9,766050339E0
1,426029215E0	-1,497000098E0	5,245950222E0	9,984000206E0
1,446191458E0	-1,528050065E0	5,136000156E0	9,210000038E0
1,466353612E0	-1,261950016E0	4,915950298E0	7,993950367E0
1,486515997E0	-9,390000701E-1	4,860000134E0	7,012050152E0
1,506678139E0	-9,940500259E-1	4,959000111E0	6,478050232E0
1,526840377E0	-8,959500194E-1	5,244000435E0	6,160050392E0
1,547002516E0	-9,100500345E-1	5,860950470E0	5,961000443E0
1,567164891E0	-1,306950092E0	6,505050182E0	6,814050198E0
1,587327115E0	-1,516050100E0	6,927000523E0	8,092050552E0
1,607489262E0	-1,401000023E0	6,987000465E0	9,055050850E0
1,627651387E0	-1,189950109E0	7,092000484E0	9,273000717E0
1,647813773E0	-1,164000034E0	7,192950249E0	8,680950165E0
1,667975937E0	-1,635000110E0	7,224000454E0	9,094950676E0
1,688138154E0	-2,080950022E0	7,164000511E0	9,526050568E0
1,708300336E0	-2,109000206E0	6,919950485E0	8,791049957E0
1,728462483E0	-1,780950069E0	6,607950211E0	7,491000175E0
1,748624885E0	-1,647000074E0	6,505050182E0	6,574050426E0
1,768786795E0	-1,770000100E0	6,289950371E0	6,451950073E0
1,788949187E0	-1,690050125E0	5,854050159E0	7,273050308E0
1,809111338E0	-1,129950047E0	5,358000278E0	7,450950146E0
1,829273567E0	-9,630000591E-1	5,266950130E0	6,897000313E0
1,849435723E0	-1,489050031E0	5,485050201E0	7,285050392E0
1,869598113E0	-1,753050089E0	5,584050179E0	7,768950462E0
1,889760254E0	-1,626000047E0	5,647950172E0	7,276050568E0
1,909922415E0	-1,657050133E0	5,955000401E0	6,438000202E0
1,930084650E0	-1,750050068E0	6,211050510E0	5,727000237E0
1,950246828E0	-1,927950144E0	6,448050499E0	6,391950130E0
1,970409223E0	-2,014050007E0	6,478950500E0	7,659000397E0
1,990571377E0	-2,053950071E0	6,661050320E0	7,965000153E0
2,010733531E0	-2,658000231E0	6,891000271E0	8,712000847E0
2,030895751E0	-3,148950100E0	6,895950317E0	9,469050407E0
2,051058158E0	-2,434950113E0	6,709050179E0	7,879050255E0
2,071220297E0	-2,320050001E0	6,832950115E0	5,683950424E0
2,091382456E0	-2,569050074E0	6,778050423E0	5,311950207E0
2,111544680E0	-2,368050098E0	6,850050449E0	5,185950279E0
2,131706848E0	-2,275050163E0	6,769050121E0	4,221000195E0
2,151869010E0	-1,995000124E0	6,577050209E0	3,462000132E0
2,172031475E0	-2,296050072E0	6,192000389E0	5,028000355E0
