"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
7,516088600E-2	-2,543750107E-1	-1,361249983E-1	-2,677125037E-1
9,532305800E-2	-8,098749816E-2	-8,195000142E-2	-3,656125069E-1
1,154852370E-1	-7,782500237E-2	-1,374999993E-2	-4,496249855E-1
1,356474680E-1	-1,926375031E-1	-4,675000161E-2	-5,081999898E-1
1,558096320E-1	-2,853125036E-1	-1,681624949E-1	-5,730999708E-1
1,759720010E-1	-1,948374957E-1	-2,692250013E-1	-6,943749785E-1
1,961341540E-1	2,337500080E-2	-3,585999906E-1	-7,050999999E-1
2,162963910E-1	1,616999954E-1	-3,745499849E-1	-6,263124943E-1
2,364585540E-1	6,270000339E-2	-3,628624976E-1	-6,402000189E-1
2,566207180E-1	-2,022625059E-1	-3,085500002E-1	-7,071624994E-1
2,767828860E-1	-4,002625048E-1	-3,437500000E-1	-6,976749897E-1
2,969453270E-1	-3,214749992E-1	-3,415499926E-1	-5,955125093E-1
3,171074150E-1	-1,043625027E-1	-3,511750102E-1	-4,581499994E-1
3,372696410E-1	5,733750015E-2	-4,257000089E-1	-4,208875000E-1
3,574317850E-1	1,275999993E-1	-4,670875072E-1	-4,709374905E-1
3,775941820E-1	1,637624949E-1	-4,713499844E-1	-4,976125062E-1
3,977563530E-1	2,457125038E-1	-4,086500108E-1	-5,081999898E-1
4,179184970E-1	4,329875112E-1	-2,297624946E-1	-4,965125024E-1
4,380807280E-1	6,617875099E-1	-1,159124970E-1	-4,262500107E-1
4,582428720E-1	8,555250168E-1	-8,084999770E-2	-3,092375100E-1
4,784052690E-1	7,917249799E-1	-1,841125041E-1	-2,602874935E-1
4,985674180E-1	4,192374945E-1	-4,437125027E-1	-2,304500043E-1
5,187295770E-1	1,053249985E-1	-5,863000154E-1	-1,835625023E-1
5,388917900E-1	2,117500082E-2	-5,384500027E-1	-2,070749998E-1
5,590539350E-1	1,383250058E-1	-3,810124993E-1	-2,975499928E-1
5,792161030E-1	3,106124997E-1	-2,436500043E-1	-3,986124992E-1
5,993784920E-1	4,511374831E-1	-2,510749996E-1	-4,507249892E-1
6,195406490E-1	4,969249964E-1	-3,341250122E-1	-4,592500031E-1
6,397027980E-1	4,351874888E-1	-3,841750026E-1	-3,986124992E-1
6,598650400E-1	2,979624867E-1	-3,819749951E-1	-3,400374949E-1
6,800274280E-1	1,457500011E-1	-3,830749989E-1	-3,102000058E-1
7,001896580E-1	4,455000162E-2	-4,416500032E-1	-2,688125074E-1
7,203517780E-1	-9,624999948E-3	-4,809750021E-1	-2,358125001E-1
7,405139440E-1	-5,431250110E-2	-4,490749836E-1	-2,560249865E-1
7,606763220E-1	-6,077500060E-2	-3,554374874E-1	-3,038749993E-1
7,808382420E-1	-4,798749834E-2	-3,117125034E-1	-3,698749840E-1
8,010006350E-1	-9,624999948E-3	-3,469125032E-1	-3,943499923E-1
8,211627920E-1	1,801249944E-2	-3,702875078E-1	-4,028750062E-1
8,413250180E-1	9,033749998E-2	-3,480125070E-1	-4,028750062E-1
8,614871740E-1	1,924999952E-1	-3,320625126E-1	-4,294124842E-1
8,816493230E-1	3,319250047E-1	-3,404499888E-1	-4,060375094E-1
9,018116810E-1	3,797749877E-1	-3,799124956E-1	-3,591499925E-1
9,219739050E-1	2,681249976E-1	-3,862375021E-1	-3,144625127E-1
9,421360580E-1	8,401250094E-2	-3,713875115E-1	-2,697750032E-1
9,622984280E-1	-9,899999946E-2	-3,107500076E-1	-2,102375031E-1
9,824605840E-1	-1,479499936E-1	-1,553750038E-1	-1,368124932E-1
1,002622726E0	-7,136250287E-2	-2,653750032E-2	-1,112374961E-1
1,022784948E0	8,084999770E-2	-5,101250112E-2	-1,357125044E-1
1,042947109E0	2,701874971E-1	-1,616999954E-1	-1,336500049E-1
1,063109481E0	3,224374950E-1	-2,649624944E-1	-1,069749966E-1
1,083271406E0	2,574000061E-1	-2,340250015E-1	-6,861250103E-2
1,103433779E0	1,467124969E-1	-3,189999983E-2	2,076249942E-2
1,123596001E0	4,564999789E-2	1,299374998E-1	1,388749927E-1
1,143758141E0	-7,782500237E-2	1,032624990E-1	2,165624946E-1
1,163920523E0	-1,799875051E-1	-7,864999771E-2	2,388374954E-1
1,184082696E0	-1,139874980E-1	-2,670249939E-1	2,399374992E-1
1,204244932E0	1,010624990E-1	-3,851374984E-1	1,984124929E-1
1,224407033E0	2,937000096E-1	-3,361875117E-1	1,303499937E-1
1,244569274E0	3,713875115E-1	-2,032250017E-1	5,472499877E-2
1,264731659E0	3,680875003E-1	-9,253749996E-2	9,088750184E-2
1,284893826E0	2,180749923E-1	-9,679999948E-2	1,803999990E-1
1,305056076E0	-5,651250109E-2	-9,996250272E-2	1,984124929E-1
1,325218230E0	-3,033249974E-1	1,099999994E-3	1,473999918E-1
1,345380372E0	-4,492124915E-1	2,117500007E-1	9,198749810E-2
1,365542526E0	-5,534374714E-1	3,735874891E-1	1,223750040E-2
1,385704896E0	-5,960624814E-1	3,789499998E-1	-2,928750031E-2
1,405867053E0	-5,374875069E-1	2,447499931E-1	-9,735000134E-2
1,426029215E0	-3,661625087E-1	8,731249720E-2	-2,208250016E-1
1,446191458E0	-7,356250286E-2	-1,911249943E-2	-2,942500114E-1
1,466353612E0	1,776500046E-1	-3,932499886E-2	-3,070375025E-1
1,486515997E0	3,053874969E-1	-1,058750041E-2	-3,177624941E-1
1,506678139E0	3,595624864E-1	5,967500061E-2	-2,996124923E-1
1,526840377E0	3,478749990E-1	1,511124969E-1	-2,666125000E-1
1,547002516E0	1,915374994E-1	2,523125112E-1	-2,666125000E-1
1,567164891E0	-8,731249720E-2	2,979624867E-1	-2,517625093E-1
1,587327115E0	-1,746249944E-1	4,268000126E-1	-1,687124968E-1
1,607489262E0	-8,841250092E-2	5,395500064E-1	-1,101374999E-1
1,627651387E0	1,911249943E-2	4,310624897E-1	-1,016125008E-1
1,647813773E0	3,286249936E-2	2,469500005E-1	-1,336500049E-1
1,667975937E0	-2,887500077E-2	1,596374959E-1	-1,612875015E-1
1,688138154E0	8,291249722E-2	1,043625027E-1	-1,377750039E-1
1,708300336E0	3,319250047E-1	5,321250111E-2	-4,633750021E-2
1,728462483E0	4,309250116E-1	8,524999954E-3	2,928750031E-2
1,748624885E0	3,063499928E-1	-9,047500044E-2	6,008749828E-2
1,768786795E0	8,401250094E-2	-8,291249722E-2	1,121999994E-1
1,788949187E0	-4,056249931E-2	-1,374999993E-2	1,824624985E-1
1,809111338E0	9,487500414E-3	-2,021249942E-2	1,750375032E-1
1,829273567E0	4,881250113E-2	1,814999990E-2	6,008749828E-2
1,849435723E0	7,864999771E-2	1,490499973E-1	-4,949999973E-2
1,869598113E0	2,223374993E-1	2,873750031E-1	-8,470000327E-2
1,889760254E0	4,021874964E-1	3,096500039E-1	-1,293874979E-1
1,909922415E0	3,691875041E-1	1,670625061E-1	-2,006125003E-1
1,930084650E0	1,222374961E-1	3,519999981E-2	-2,463999987E-1
1,950246828E0	-1,639000028E-1	5,747500062E-2	-2,580874860E-1
1,970409223E0	-2,193125039E-1	1,968999952E-1	-2,751374841E-1
1,990571377E0	-1,564749926E-1	2,575374842E-1	-3,613499999E-1
2,010733531E0	-1,277374923E-1	2,606999874E-1	-4,783625007E-1
2,030895751E0	8,291249722E-2	1,405249983E-1	-4,837250113E-1
2,051058158E0	4,235000014E-1	-1,574375033E-1	-4,613125026E-1
2,071220297E0	5,564625263E-1	-3,437500000E-1	-5,017374754E-1
2,091382456E0	5,373499990E-1	-2,606999874E-1	-4,900499880E-1
2,111544680E0	6,320874691E-1	-1,457500011E-1	-4,156624973E-1
2,131706848E0	6,171000004E-1	-3,079999983E-2	-3,155624866E-1
2,151869010E0	1,904374957E-1	3,189999983E-2	-2,208250016E-1
2,172031475E0	-4,342249930E-1	1,501500010E-1	-1,815000027E-1
2,192193615E0	-8,216999769E-1	3,055250049E-1	-1,601874977E-1
2,212355795E0	-9,238625169E-1	3,299999833E-1	-5,059999973E-2
2,232517949E0	-7,779750228E-1	8,937499672E-2	1,132999957E-1
2,252680340E0	-5,673249960E-1	-3,671250045E-1	1,132999957E-1
2,272842472E0	-4,225375056E-1	-5,618249774E-1	-5,499999970E-4
2,293004692E0	-2,267374992E-1	-4,639250040E-1	-1,123374999E-1
2,313166838E0	5,637500063E-2	-3,159750104E-1	-1,783374995E-1
2,333329002E0	2,063875049E-1	-1,733874977E-1	-2,569875121E-1
2,353491369E0	1,222374961E-1	3,519999981E-2	-2,825624943E-1
2,373653595E0	1,882375032E-1	7,768750191E-2	-1,155000031E-1
2,393815742E0	5,926250219E-1	-3,235374987E-1	8,030000329E-2
2,413977910E0	9,608500004E-1	-8,438374996E-1	9,088750184E-2
2,434140069E0	1,039637446E0	-1,021625042E0	5,499999970E-4
2,454302442E0	7,980499864E-1	-7,629874945E-1	-1,633500010E-1
2,474464612E0	4,448125064E-1	-6,523000002E-1	-2,070749998E-1
2,494626847E0	1,989624947E-1	-4,852375090E-1	-5,486249924E-2
2,514788987E0	1,744875014E-1	-5,101250112E-2	-4,949999973E-2
2,534951350E0	6,608250141E-1	-2,021249942E-2	-2,186249942E-2
2,555113516E0	1,321650028E0	-4,383499920E-1	-1,539999992E-2
2,575275742E0	1,124750018E0	-2,638624907E-1	-3,038749993E-1
2,595437896E0	8,181250095E-2	6,151750088E-1	-6,072000265E-1
2,615600039E0	-3,693250120E-1	1,052562475E0	-4,486624897E-1
2,635762444E0	-2,916375101E-1	2,415875047E-1	-7,617499679E-2
2,655924600E0	-3,012624979E-1	-7,533624768E-1	6,008749828E-2
2,676086764E0	-2,554749846E-1	-1,097112536E0	-6,228749827E-2
2,696249017E0	-6,462499965E-3	-8,481000066E-1	-1,538625062E-1
2,716411157E0	1,095874980E-1	-2,362249941E-1	-1,377750039E-1
2,736573526E0	-4,492124915E-1	4,927999973E-1	-8,139999956E-2
2,756735750E0	-1,165449977E0	8,758749962E-1	7,287500054E-2
