"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
4,318949000E-2	2,075625038E1	-2,943750143E0	-2,705625153E1
6,321135100E-2	-1,038750076E1	-9,000000000E0	-6,678750610E1
8,327250300E-2	-1,014375019E1	-8,943750381E0	-6,618750000E1
1,033927420E-1	-9,787500381E0	-8,700000763E0	-6,605625153E1
1,234252580E-1	-9,300000191E0	-8,643750191E0	-6,558750153E1
1,436154490E-1	-8,700000763E0	-8,512500763E0	-6,498750305E1
1,637831740E-1	-8,287500381E0	-8,343750000E0	-6,461250305E1
1,839180870E-1	-7,612500191E0	-8,287500381E0	-6,408750153E1
2,040031120E-1	-6,900000095E0	-8,100000381E0	-6,365625381E1
2,238184370E-1	-6,300000191E0	-7,912500381E0	-6,330000305E1
2,438993690E-1	-5,943750381E0	-7,800000191E0	-6,305625153E1
2,639516680E-1	-5,943750381E0	-7,987500191E0	-6,240000153E1
2,839805460E-1	-5,700000286E0	-7,800000191E0	-6,198750305E1
3,040028170E-1	-5,943750381E0	-8,043750763E0	-6,155625153E1
3,237769530E-1	-5,700000286E0	-8,043750763E0	-6,101250076E1
3,438278700E-1	-5,943750381E0	-8,043750763E0	-6,065625381E1
3,638761330E-1	-6,300000191E0	-8,043750763E0	-6,018750381E1
3,839080100E-1	-6,487500191E0	-8,287500381E0	-5,981250381E1
4,039397250E-1	-6,600000381E0	-8,400000572E0	-5,981250381E1
4,237228310E-1	-6,543750286E0	-8,643750191E0	-5,970000076E1
4,437845610E-1	-6,900000095E0	-9,000000000E0	-5,951250076E1
4,638434080E-1	-6,843750477E0	-9,243750572E0	-5,951250076E1
4,838870900E-1	-7,200000286E0	-9,843750000E0	-5,921250153E1
5,039159830E-1	-7,312500477E0	-1,044375038E1	-5,885625076E1
5,236973420E-1	-7,387500286E0	-1,098750019E1	-5,831250381E1
5,437687190E-1	-7,612500191E0	-1,151250076E1	-5,820000076E1
5,638246260E-1	-7,743750095E0	-1,188750076E1	-5,765625381E1
5,838761080E-1	-8,043750763E0	-1,224375057E1	-5,711250305E1
6,039127310E-1	-8,287500381E0	-1,260000038E1	-5,658750153E1
6,236990370E-1	-8,643750191E0	-1,290000057E1	-5,628750229E1
6,437753060E-1	-8,943750381E0	-1,308750057E1	-5,585625076E1
6,638324120E-1	-9,543750763E0	-1,344375038E1	-5,610000229E1
6,838847610E-1	-1,001250076E1	-1,398750019E1	-5,610000229E1
7,039205020E-1	-1,031250000E1	-1,434375095E1	-5,591250229E1
7,237074180E-1	-1,104375076E1	-1,500000095E1	-5,591250229E1
7,437832150E-1	-1,181250000E1	-1,548750019E1	-5,561250305E1
7,638425260E-1	-1,241250038E1	-1,578750038E1	-5,555625153E1
7,838835670E-1	-1,248750019E1	-1,614375114E1	-5,531250381E1
8,039228850E-1	-1,301250076E1	-1,661250114E1	-5,508750153E1
8,237560950E-1	-1,314375019E1	-1,668750000E1	-5,460000229E1
8,438100980E-1	-1,331250095E1	-1,674375153E1	-5,388750076E1
8,636277840E-1	-1,380000019E1	-1,674375153E1	-5,358750153E1
8,837745790E-1	-1,404375076E1	-1,680000114E1	-5,328750229E1
9,035547360E-1	-1,398750019E1	-1,680000114E1	-5,310000229E1
9,234373590E-1	-1,404375076E1	-1,728750038E1	-5,261250305E1
9,433501690E-1	-1,470000076E1	-1,764375114E1	-5,238750076E1
9,632991640E-1	-1,511250019E1	-1,781250000E1	-5,250000381E1
9,832877900E-1	-1,541250038E1	-1,811250114E1	-5,208750153E1
1,003260427E0	-1,554375076E1	-1,848750114E1	-5,225625229E1
1,023254628E0	-1,554375076E1	-1,901250076E1	-5,220000076E1
1,043352092E0	-1,560000038E1	-1,931250000E1	-5,195625305E1
1,063484545E0	-1,601250076E1	-1,974375153E1	-5,178750229E1
1,083651221E0	-1,620000076E1	-1,974375153E1	-5,178750229E1
1,103793245E0	-1,631250000E1	-1,968750000E1	-5,160000229E1
1,123657390E0	-1,608750153E1	-1,991250038E1	-5,141250229E1
1,143785781E0	-1,631250000E1	-1,991250038E1	-5,135625076E1
1,163876549E0	-1,668750000E1	-1,991250038E1	-5,111250305E1
1,183946399E0	-1,661250114E1	-1,974375153E1	-5,075625229E1
1,203987572E0	-1,661250114E1	-1,974375153E1	-5,058750153E1
1,223772501E0	-1,650000000E1	-1,950000000E1	-5,081250381E1
1,243842867E0	-1,668750000E1	-1,980000114E1	-5,051250076E1
1,263892839E0	-1,680000114E1	-1,980000114E1	-5,040000153E1
1,283937677E0	-1,698750114E1	-1,974375153E1	-5,015625381E1
1,303963178E0	-1,710000038E1	-1,974375153E1	-5,010000229E1
1,323740431E0	-1,710000038E1	-1,974375153E1	-4,991250229E1
1,343796778E0	-1,734375000E1	-1,991250038E1	-4,998750305E1
1,363850824E0	-1,740000153E1	-1,980000114E1	-4,991250229E1
1,383889135E0	-1,758750153E1	-1,991250038E1	-4,991250229E1
1,403924774E0	-1,764375114E1	-1,968750000E1	-5,028750229E1
1,423712518E0	-1,758750153E1	-1,968750000E1	-5,015625381E1
1,443778552E0	-1,758750153E1	-1,944375038E1	-5,010000229E1
1,463839887E0	-1,751250076E1	-1,938750076E1	-4,985625076E1
1,483885800E0	-1,740000153E1	-1,920000076E1	-5,010000229E1
1,503914504E0	-1,734375000E1	-1,914375114E1	-4,991250229E1
1,523708192E0	-1,751250076E1	-1,914375114E1	-4,998750305E1
1,543778592E0	-1,740000153E1	-1,920000076E1	-5,021250153E1
1,563832353E0	-1,721250153E1	-1,938750076E1	-5,015625381E1
1,583881791E0	-1,710000038E1	-1,950000000E1	-5,040000153E1
