"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
5,210500500E-2	3,315000057E0	8,104949951E0	2,536950111E0
7,226772100E-2	2,520000219E0	8,530950546E0	3,316050053E0
9,242996100E-2	2,404950142E0	8,787000656E0	3,756000280E0
1,125924180E-1	2,803050041E0	8,839950562E0	3,282000065E0
1,327548970E-1	3,271950245E0	8,887950897E0	3,186000109E0
1,529172480E-1	4,179000378E0	8,605050087E0	2,595000029E0
1,730797180E-1	4,348950386E0	8,518950462E0	2,475000143E0
1,932421780E-1	3,897000074E0	8,775000572E0	2,935050249E0
2,134046160E-1	3,966000080E0	8,926050186E0	3,076050043E0
2,335670740E-1	3,988050222E0	8,563950539E0	3,073950052E0
2,537292980E-1	3,897000074E0	8,380050659E0	3,595950127E0
2,738919760E-1	3,808050156E0	8,490000725E0	3,366000175E0
2,940542160E-1	3,784050226E0	8,524050713E0	2,767050028E0
3,142166720E-1	3,562050104E0	8,566950798E0	3,004050255E0
3,343791620E-1	3,556950092E0	8,256000519E0	3,792000294E0
3,545416480E-1	3,580950260E0	8,092950821E0	3,841950178E0
3,747040860E-1	3,801000118E0	7,834050179E0	3,997950077E0
3,948664720E-1	3,802950144E0	7,932000160E0	3,583950281E0
4,150290040E-1	4,012050152E0	8,044950485E0	2,908950090E0
4,351914720E-1	4,300950050E0	8,296050072E0	2,320050001E0
4,553538400E-1	4,681950092E0	8,212050438E0	2,830050230E0
4,755162900E-1	4,861950397E0	7,786050320E0	3,166950226E0
4,956788160E-1	4,669950008E0	7,413000584E0	4,221000195E0
5,158409410E-1	4,617000103E0	7,269000530E0	5,074950218E0
5,360034210E-1	4,468950272E0	7,432050228E0	5,286000252E0
5,561660940E-1	4,402050018E0	7,651950359E0	4,261050224E0
5,763283180E-1	4,653000355E0	7,770000458E0	4,575000286E0
5,964908360E-1	5,010000229E0	7,351050377E0	4,078950405E0
6,166532460E-1	4,744050026E0	7,846050262E0	4,269000053E0
6,368158030E-1	4,299000263E0	8,325000763E0	3,706050158E0
6,569781980E-1	4,419000149E0	8,112000465E0	2,985000134E0
6,771406580E-1	4,656000137E0	7,987050533E0	2,410950184E0
6,973031960E-1	4,399950027E0	8,131050110E0	2,668950081E0
7,174656100E-1	4,126950264E0	8,080950737E0	3,550050259E0
7,376278260E-1	4,420950413E0	8,062050819E0	4,314000130E0
7,577903050E-1	4,464000225E0	8,074049950E0	5,389050484E0
7,779527740E-1	4,275000095E0	8,112000465E0	5,322000027E0
7,981152510E-1	4,588950157E0	7,935000420E0	4,570050240E0
8,182777070E-1	4,356000423E0	7,863000393E0	3,720000267E0
8,384401500E-1	4,306050301E0	7,354950428E0	3,280050039E0
8,586025310E-1	4,905000210E0	7,513050556E0	3,046950102E0
8,787649810E-1	4,809000015E0	7,389000416E0	3,562050104E0
8,989275400E-1	4,749000072E0	7,695000172E0	3,691950083E0
9,190899230E-1	4,323000431E0	7,927950382E0	4,149000168E0
9,392523700E-1	4,084050179E0	8,179050446E0	4,482000351E0
9,594145980E-1	4,549950123E0	7,615950584E0	4,825950146E0
9,795770350E-1	4,813950062E0	7,630950451E0	4,731000423E0
9,997394920E-1	4,627050400E0	7,413000584E0	4,462050438E0
1,019901934E0	4,525950432E0	6,976950169E0	3,949950218E0
1,040064372E0	4,584000111E0	6,631950378E0	4,186950207E0
1,060226862E0	4,492950439E0	6,489000320E0	3,727050066E0
1,080389309E0	4,324950218E0	6,751950264E0	3,543000221E0
1,100551769E0	3,952050209E0	7,305000305E0	4,069950104E0
1,120714211E0	3,529950142E0	8,064000130E0	4,563000202E0
