"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
8,234895200E-2	-3,808749914E-1	-2,890250087E-1	7,232499868E-2
1,025114140E-1	-2,903999984E-1	-3,581874967E-1	1,574375033E-1
1,226738790E-1	-2,499749959E-1	-3,007124960E-1	2,234375030E-1
1,428361110E-1	-2,169750035E-1	-2,304500043E-1	2,915000021E-1
1,629985630E-1	-2,616625130E-1	-1,208624989E-1	2,851749957E-1
1,831609610E-1	-3,244999945E-1	-6,875000149E-2	2,138125002E-1
2,033233950E-1	-3,447124958E-1	-7,081250101E-2	1,722874939E-1
2,234859230E-1	-3,606624901E-1	-9,955000132E-2	1,297999918E-1
2,436480640E-1	-3,265624940E-1	-5,912499875E-2	6,173750013E-2
2,638105240E-1	-2,744500041E-1	-1,368124932E-1	1,594999991E-2
2,839729680E-1	-2,796750069E-1	-2,475000024E-1	2,969999984E-2
3,041354710E-1	-3,712500036E-1	-2,230249941E-1	9,459999949E-2
3,242979030E-1	-4,298250079E-1	-1,920875013E-1	1,383250058E-1
3,444603980E-1	-3,946250081E-1	-2,070749998E-1	1,170125008E-1
3,646228650E-1	-3,564000130E-1	-2,697750032E-1	4,675000161E-2
3,847855470E-1	-2,307250053E-1	-2,890250087E-1	-3,203750029E-2
4,049477010E-1	-1,786125004E-1	-3,177624941E-1	-6,393750012E-2
4,251102270E-1	-3,148750067E-1	-3,889875114E-1	-3,616249934E-2
4,452726210E-1	-6,862624884E-1	-5,295125246E-1	-5,115000159E-2
4,654351480E-1	-9,278500080E-1	-6,125624776E-1	-6,710000336E-2
4,855975080E-1	-1,039637446E0	-6,635749936E-1	-1,011999995E-1
5,057597130E-1	-9,543874860E-1	-6,061000228E-1	-1,266375035E-1
5,259224190E-1	-6,341499686E-1	-4,603500068E-1	-1,203124970E-1
5,460848700E-1	-2,551999986E-1	-2,304500043E-1	-6,916250288E-2
5,662470790E-1	-9,487500414E-3	5,774999969E-3	3,299999982E-2
5,864095820E-1	1,023000032E-1	8,992499858E-2	8,717499673E-2
6,065722980E-1	1,512500048E-1	1,281500012E-1	3,726249933E-2
6,267345520E-1	1,119249985E-1	2,612499986E-3	-4,468749836E-2
6,468970330E-1	8,524999768E-2	-6,764999777E-2	-2,447500080E-2
6,670594420E-1	3,533750027E-2	-1,127499994E-2	-1,099999994E-3
6,872218890E-1	-9,776250273E-2	6,324999779E-2	-3,616249934E-2
7,073843570E-1	-2,754124999E-1	1,249874979E-1	-2,667500079E-2
7,275466120E-1	-4,053499997E-1	9,088750184E-2	2,653750032E-2
7,477093030E-1	-4,393124878E-1	1,539999992E-2	3,616249934E-2
7,678715240E-1	-2,776125073E-1	-6,118749827E-2	3,726249933E-2
7,880340200E-1	-6,270000339E-2	-7,727500051E-2	7,232499868E-2
8,081964760E-1	1,321374923E-1	3,877500072E-2	9,569999576E-2
8,283589190E-1	1,660999954E-1	1,303499937E-1	1,308999956E-1
8,485213760E-1	4,372499883E-2	7,383749634E-2	1,351625025E-1
8,686837310E-1	-1,435499936E-1	-1,869999990E-2	3,299999982E-2
8,888462890E-1	-2,637250125E-1	-1,507000029E-1	-8,511249721E-2
9,090086940E-1	-3,404499888E-1	-1,911250055E-1	-1,575749964E-1
9,291711690E-1	-3,425124884E-1	-1,484999955E-1	-1,277374923E-1
9,493336000E-1	-3,425124884E-1	-9,212499857E-2	5,224999972E-3
9,694960570E-1	-1,871374995E-1	5,692499876E-2	5,321250111E-2
9,896584950E-1	-4,028749838E-2	1,696749926E-1	1,704999991E-2
1,009820951E0	8,744999766E-2	2,633124888E-1	-1,388750039E-2
1,029983394E0	1,629374921E-1	3,569499850E-1	-9,624999948E-3
1,050145831E0	2,406249940E-1	3,548874855E-1	-9,047500044E-2
1,070308322E0	1,586750001E-1	2,165624946E-1	-2,096875012E-1
1,090470538E0	1,182499994E-2	1,036750004E-1	-2,905375063E-1
1,110632980E0	-9,487500414E-3	1,090374961E-1	-3,192749918E-1
1,130795381E0	1,086249948E-2	1,270499974E-1	-2,490125000E-1
1,150957831E0	-2,433750033E-2	1,143999994E-1	-4,895000160E-2
1,171120278E0	-5,513750017E-2	3,037374914E-1	1,223749965E-1
1,191282726E0	-7,328750193E-2	3,517250121E-1	1,606000066E-1
1,211444974E0	-7,644999772E-2	2,367749959E-1	6,916250288E-2
1,231607435E0	-1,062875018E-1	2,377374917E-1	-3,836249933E-2
1,251769887E0	-1,009249985E-1	2,781625092E-1	-1,160499975E-1
1,271932603E0	-6,187499966E-3	2,473624945E-1	-2,182125002E-1
1,292094829E0	1,534499973E-1	2,217874974E-1	-3,895374835E-1
1,312257195E0	1,544124931E-1	1,579875052E-1	-5,204374790E-1
1,332419646E0	9,061250091E-2	2,250874937E-1	-6,715499759E-1
1,352582123E0	1,924999990E-2	2,505249977E-1	-7,907624841E-1
1,372744593E0	-3,024999984E-3	1,728374958E-1	-8,269249797E-1
1,392906839E0	8,098749816E-2	4,619999975E-2	-5,682874918E-1
1,413069532E0	1,150875017E-1	8,937500417E-3	-2,745875120E-1
1,433231789E0	-1,044999994E-2	1,539999992E-2	-1,234750003E-1
1,453394260E0	-7,961250097E-2	-7,727500051E-2	-2,351249941E-2
1,473556751E0	-1,435499936E-1	-5,376249924E-2	-3,726249933E-2
1,493719238E0	-2,818749845E-1	-3,355000168E-2	-2,557500079E-2
