"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
4,096522600E-2	1,854375076E1	-8,043750763E0	-3,534375000E1
6,098706800E-2	-2,075625038E1	-9,843750000E0	-2,531250191E1
8,104846000E-2	-2,070000076E1	-9,712500572E0	-2,550000191E1
1,011687410E-1	-2,051250076E1	-9,656250000E0	-2,550000191E1
1,213369640E-1	-2,051250076E1	-9,712500572E0	-2,568750191E1
1,415162560E-1	-2,064375114E1	-9,656250000E0	-2,561250114E1
1,616624100E-1	-2,040000153E1	-9,543750763E0	-2,544375038E1
1,817589970E-1	-2,070000076E1	-9,412500381E0	-2,561250114E1
2,018228980E-1	-2,064375114E1	-9,243750572E0	-2,574375153E1
2,216213420E-1	-2,100000000E1	-8,812500000E0	-2,568750191E1
2,416902570E-1	-2,100000000E1	-8,756250381E0	-2,561250114E1
2,617333330E-1	-2,130000114E1	-8,400000572E0	-2,561250114E1
2,817577580E-1	-2,111250114E1	-7,856250286E0	-2,568750191E1
3,017756130E-1	-2,081250000E1	-7,612500191E0	-2,580000114E1
3,215475360E-1	-2,094375038E1	-7,312500477E0	-2,598750114E1
3,415958370E-1	-2,051250076E1	-7,012500286E0	-2,598750114E1
3,616440740E-1	-2,045625114E1	-6,843750477E0	-2,591250038E1
3,814434160E-1	-2,064375114E1	-6,712500095E0	-2,621250153E1
4,015180690E-1	-2,070000076E1	-6,600000381E0	-2,598750114E1
4,215885520E-1	-2,075625038E1	-6,412500381E0	-2,634375191E1
4,416418790E-1	-2,100000000E1	-6,356250286E0	-2,604375076E1
4,616875860E-1	-2,141250038E1	-6,112500191E0	-2,574375153E1
4,817178680E-1	-2,171250153E1	-6,243750095E0	-2,568750191E1
5,017323970E-1	-2,201250076E1	-5,943750381E0	-2,550000191E1
5,217481280E-1	-2,250000000E1	-5,643750191E0	-2,514375114E1
5,417536410E-1	-2,261250114E1	-5,343750000E0	-2,484375191E1
5,617504650E-1	-2,285625076E1	-5,043750286E0	-2,471250153E1
5,817528930E-1	-2,285625076E1	-4,743750095E0	-2,411250114E1
6,017509410E-1	-2,310000038E1	-4,312500000E0	-2,411250114E1
6,215081860E-1	-2,304375076E1	-4,012500286E0	-2,418750191E1
6,415638110E-1	-2,334375000E1	-3,843750238E0	-2,411250114E1
6,616073340E-1	-2,340000153E1	-3,712500095E0	-2,411250114E1
6,816411940E-1	-2,351250076E1	-3,956250191E0	-2,424375153E1
7,016737440E-1	-2,345625114E1	-3,956250191E0	-2,394375038E1
7,214612070E-1	-2,340000153E1	-3,656250238E0	-2,400000000E1
7,415381060E-1	-2,321250153E1	-3,843750238E0	-2,400000000E1
7,616004000E-1	-2,321250153E1	-3,900000095E0	-2,418750191E1
7,816458310E-1	-2,340000153E1	-3,900000095E0	-2,448750114E1
8,016863870E-1	-2,351250076E1	-3,712500095E0	-2,478750038E1
8,217136250E-1	-2,351250076E1	-3,712500095E0	-2,454375076E1
8,417270530E-1	-2,340000153E1	-3,300000191E0	-2,460000038E1
8,617424450E-1	-2,345625114E1	-3,112500191E0	-2,508750153E1
8,817467570E-1	-2,351250076E1	-3,243750095E0	-2,531250191E1
9,017446390E-1	-2,370000076E1	-3,000000000E0	-2,561250114E1
9,217472790E-1	-2,375625038E1	-2,943750143E0	-2,514375114E1
9,417452300E-1	-2,394375038E1	-2,756250143E0	-2,484375191E1
9,617712290E-1	-2,351250076E1	-2,512500048E0	-2,460000038E1
9,818646760E-1	-2,351250076E1	-2,343750000E0	-2,490000153E1
1,001595120E0	-2,340000153E1	-2,212500095E0	-2,501250076E1
1,021380404E0	-2,340000153E1	-2,156250000E0	-2,501250076E1
1,041216465E0	-2,334375000E1	-2,043750048E0	-2,478750038E1
1,061130548E0	-2,310000038E1	-2,100000143E0	-2,478750038E1
1,081061193E0	-2,274375153E1	-1,912500024E0	-2,520000076E1
1,101049184E0	-2,255625153E1	-2,100000143E0	-2,531250191E1
1,121114266E0	-2,255625153E1	-2,100000143E0	-2,544375038E1
1,141227089E0	-2,250000000E1	-2,100000143E0	-2,514375114E1
1,161383185E0	-2,244375038E1	-2,400000095E0	-2,538750076E1
1,181521072E0	-2,231250000E1	-2,400000095E0	-2,544375038E1
1,201630262E0	-2,214375114E1	-2,400000095E0	-2,561250114E1
1,221703381E0	-2,220000076E1	-2,400000095E0	-2,568750191E1
1,241757881E0	-2,214375114E1	-2,512500048E0	-2,574375153E1
1,261787423E0	-2,201250076E1	-2,512500048E0	-2,591250038E1
1,281797366E0	-2,171250153E1	-2,512500048E0	-2,604375076E1
1,301803797E0	-2,135625076E1	-2,700000048E0	-2,634375191E1
1,321564934E0	-2,124375153E1	-2,512500048E0	-2,634375191E1
1,341606118E0	-2,070000076E1	-2,512500048E0	-2,628750038E1
1,361648146E0	-2,045625114E1	-2,812500000E0	-2,658750153E1
1,381678562E0	-2,004375076E1	-3,112500191E0	-2,681250191E1
1,401696132E0	-1,985625076E1	-3,656250238E0	-2,688750076E1
1,421716060E0	-1,931250000E1	-4,143750191E0	-2,694375038E1
1,441726542E0	-1,914375114E1	-4,743750095E0	-2,681250191E1
1,461729255E0	-1,895625114E1	-5,156250000E0	-2,688750076E1
1,481737462E0	-1,871250153E1	-5,700000286E0	-2,700000191E1
1,501737150E0	-1,871250153E1	-6,000000000E0	-2,724375153E1
1,521742767E0	-1,871250153E1	-6,112500191E0	-2,741250038E1
1,541741180E0	-1,884375000E1	-6,112500191E0	-2,760000038E1
1,561737075E0	-1,884375000E1	-5,943750381E0	-2,748750114E1
1,581738642E0	-1,895625114E1	-5,643750191E0	-2,784375191E1
1,601735752E0	-1,895625114E1	-5,400000095E0	-2,814375114E1
