"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
3,689591700E-2	-3,738000154E0	3,694050074E0	6,109950066E0
5,705682000E-2	-2,560050011E0	3,666000128E0	7,957950592E0
7,722031500E-2	-4,245000362E0	3,369000196E0	1,043895054E1
9,738404500E-2	-4,318950176E0	2,401950121E0	1,251705074E1
1,175476890E-1	-3,855000257E0	2,725050211E0	1,161405087E1
1,377111980E-1	-2,920950174E0	2,746050119E0	9,562050819E0
1,578748230E-1	-2,180999994E0	2,866050243E0	7,873950481E0
1,780382940E-1	-1,305000067E0	3,129000187E0	7,585050583E0
1,982019840E-1	-2,437950134E0	2,691000223E0	1,007205009E1
2,183656400E-1	-2,260050058E0	2,356050014E0	9,763050079E0
2,385293130E-1	-2,104950190E0	2,374950171E0	9,367950439E0
2,586927500E-1	-2,413950205E0	2,485050201E0	8,767050743E0
2,788563510E-1	-2,512050152E0	2,452050209E0	8,538000107E0
2,990196970E-1	-2,563950062E0	2,394000053E0	8,499000549E0
3,191833700E-1	-2,677050114E0	2,430000067E0	8,575950623E0
3,393468270E-1	-2,806050062E0	2,287050009E0	9,009000778E0
3,595104400E-1	-2,590950012E0	2,136000156E0	9,604950905E0
3,796739160E-1	-2,205000162E0	2,111999989E0	9,234000206E0
3,998375210E-1	-1,735950112E0	2,217000008E0	8,323950768E0
4,200011920E-1	-1,710000038E0	2,385000229E0	7,810050488E0
4,401646650E-1	-1,669050097E0	2,458950043E0	8,305050850E0
4,603282520E-1	-1,792950034E0	2,260050058E0	9,025950432E0
4,804916980E-1	-1,849050045E0	2,155050039E0	9,414000511E0
5,006553850E-1	-1,798050046E0	1,872000098E0	9,790050507E0
5,208189910E-1	-1,891950130E0	1,882050037E0	9,945000648E0
5,409824300E-1	-1,807950139E0	1,803000093E0	9,814050674E0
5,611460210E-1	-2,278950214E0	1,767000079E0	1,050105095E1
5,813095120E-1	-2,490000010E0	1,531950116E0	1,126005077E1
6,014732310E-1	-2,332050085E0	1,474950075E0	1,118595028E1
6,216368460E-1	-1,906050086E0	1,587000132E0	1,016295052E1
6,418003320E-1	-1,813050032E0	1,798050046E0	9,457050323E0
6,619640380E-1	-2,029950142E0	1,863000035E0	1,001700020E1
6,821276400E-1	-2,418000221E0	2,065950155E0	1,035195065E1
7,022913510E-1	-2,440050125E0	2,111999989E0	9,550050735E0
7,224548230E-1	-2,643000126E0	2,180999994E0	9,385050774E0
7,426184470E-1	-2,895000219E0	2,290950060E0	9,862050056E0
7,627819140E-1	-2,646000147E0	2,176050186E0	9,727950096E0
7,829455340E-1	-1,995000124E0	2,017950058E0	8,715000153E0
8,031090150E-1	-1,678950071E0	2,047049999E0	8,209950447E0
8,232726880E-1	-2,044950008E0	2,185950041E0	8,362950325E0
8,434363040E-1	-2,434950113E0	2,293950081E0	9,031050682E0
8,635997790E-1	-2,265000105E0	2,002050161E0	9,507000923E0
8,837633920E-1	-2,041949987E0	1,777050138E0	9,900000572E0
9,039267790E-1	-2,020950079E0	1,915050149E0	1,000800037E1
9,240905570E-1	-1,935000062E0	2,253000021E0	9,450000763E0
9,442539470E-1	-1,645050049E0	2,599950075E0	8,679000854E0
9,644175300E-1	-1,707000136E0	2,614950180E0	8,563950539E0
9,845810070E-1	-2,356050014E0	2,253000021E0	1,036905003E1
1,004744609E0	-2,974050045E0	1,786050081E0	1,312005043E1
1,024908289E0	-2,614950180E0	1,492050052E0	1,358205032E1
1,045071716E0	-2,446950197E0	2,868000031E0	1,109205055E1
1,065235321E0	-2,442000151E0	3,661050081E0	9,780000687E0
1,085399013E0	-2,622000217E0	3,931050301E0	1,065195084E1
1,105562437E0	-2,196000099E0	3,940950155E0	1,144200039E1
1,125726028E0	-1,621050119E0	3,730050087E0	1,087005043E1
1,145889514E0	-1,171050072E0	3,892950296E0	9,622050285E0
1,166053107E0	-1,183050036E0	4,378950119E0	8,538000107E0
1,186216549E0	-1,683000088E0	5,722050190E0	7,612950325E0
1,206380249E0	-2,365950108E0	5,698050499E0	9,082950592E0
1,226543885E0	-1,117950082E0	4,389000416E0	9,322950363E0
1,246707331E0	8,610000610E-1	3,369000196E0	8,394000053E0
1,266870930E0	9,780000448E-1	3,565050125E0	7,345050335E0
1,287034401E0	1,336950064E0	2,988000154E0	7,822050571E0
1,307198026E0	1,648950100E0	1,522950053E0	1,015395069E1
1,327361692E0	1,255950093E0	4,140000343E-1	1,215495014E1
1,347525130E0	4,420500100E-1	1,009950042E0	1,266300106E1
1,367688774E0	-4,860000312E-1	1,602000117E0	1,111905098E1
1,387852243E0	-2,646000147E0	2,586000204E0	1,158495045E1
1,408015933E0	-1,828950047E0	2,200050116E0	1,073100090E1
1,428179544E0	-3,690000176E-1	2,196000099E0	7,837950230E0
1,448343236E0	7,095000148E-2	2,767950058E0	5,875050068E0
1,468506616E0	-7,020000219E-1	3,103050232E0	6,316050529E0
1,488670077E0	-8,760000467E-1	3,781050205E0	7,326000214E0
1,508833781E0	-9,480000734E-1	3,534000158E0	6,577050209E0
1,528997404E0	-2,641050100E0	2,751000166E0	7,375950336E0
1,549161087E0	-1,815000057E0	3,867000103E0	7,564950466E0
1,569324447E0	-1,231050014E0	4,828950405E0	7,446000576E0
1,589487887E0	-1,635000110E0	5,227050304E0	8,077950478E0
1,609651517E0	-1,324050069E0	4,831950188E0	7,825950146E0
1,629815022E0	-1,395000052E-2	4,674000263E0	7,125000477E0
1,649978948E0	1,995000057E-2	4,456050396E0	8,320050240E0
1,670142356E0	-4,570500255E-1	4,279050350E0	9,463950157E0
1,690305815E0	-7,330500484E-1	4,473000050E0	9,451950073E0
1,710469510E0	-2,629500031E-1	4,396049976E0	8,779050827E0
1,730633140E0	8,295000345E-2	3,607950211E0	8,752950668E0
1,750796601E0	-3,949500322E-1	3,876000166E0	9,045000076E0
1,770960247E0	-9,649500251E-1	3,715950251E0	8,614050865E0
1,791123664E0	-1,795950055E0	5,125950336E0	8,350950241E0
1,811287256E0	-6,919500232E-1	4,269000053E0	7,407000542E0
1,831450958E0	7,549500465E-1	2,691000223E0	7,716000557E0
1,851614432E0	1,894950032E0	1,726050138E0	8,593050003E0
1,871778110E0	2,041050196E0	2,071050167E0	7,513050556E0
1,891941720E0	-3,589500189E-1	4,243050098E0	8,260050774E0
1,912105196E0	-9,079500437E-1	4,699950218E0	8,005949974E0
1,932268569E0	-8,310000300E-1	4,872000217E0	8,430000305E0
1,952432266E0	-2,830500007E-1	5,050050259E0	8,017950058E0
1,972595873E0	-1,219500080E-1	5,017950058E0	8,614050865E0
1,992759358E0	-1,005000062E-2	5,062050343E0	9,109950066E0
2,012923050E0	8,200500607E-1	5,208000183E0	9,355950356E0
2,033086676E0	8,080500364E-1	5,368050098E0	9,306000710E0
2,053250117E0	6,859500408E-1	5,791950226E0	8,652000427E0
2,073413801E0	6,360000372E-1	5,856000423E0	7,683000565E0
2,093577165E0	3,705000132E-2	6,105000496E0	7,017000198E0
2,113740858E0	-3,829500079E-1	6,370950222E0	7,348050117E0
2,133904488E0	-2,950500250E-1	6,265950203E0	7,699950218E0
2,154067940E0	-1,129500046E-1	6,022050381E0	8,017950058E0
2,174231569E0	-2,989500165E-1	5,851950169E0	8,704950333E0
2,194395241E0	1,605000161E-2	5,641050339E0	9,025950432E0
2,214558678E0	-3,000000026E-3	5,848950386E0	8,854050636E0
2,234722291E0	-1,440000087E-1	6,025950432E0	8,377050400E0
2,254885766E0	-1,699500084E-1	5,878050327E0	8,712000847E0
2,275049455E0	-2,539499998E-1	5,794050217E0	9,082950592E0
2,295213154E0	-2,299500108E-1	5,727000237E0	9,067049980E0
2,315376553E0	8,505000174E-2	5,440050125E0	8,365050316E0
2,335540156E0	1,590000093E-1	5,754000187E0	6,727050304E0
2,355703603E0	1,210500076E-1	5,263050079E0	6,586050510E0
2,375867252E0	3,409500122E-1	5,325000286E0	6,655950546E0
2,396030946E0	4,870500267E-1	5,229000092E0	7,390950203E0
2,416194644E0	5,659500360E-1	5,299050331E0	7,627950191E0
2,436358047E0	9,160500169E-1	5,418000221E0	7,366950512E0
2,456521496E0	7,579500079E-1	5,706000328E0	7,149000168E0
2,476685191E0	1,469999999E-1	6,319050312E0	7,498050213E0
2,496848807E0	-3,229500055E-1	6,558000088E0	7,968000412E0
2,517012514E0	-2,110500038E-1	6,301950455E0	9,007050514E0
2,537175995E0	2,239500135E-1	5,878050327E0	9,826050758E0
2,557339615E0	4,129500091E-1	5,458950043E0	1,010805035E1
2,577503077E0	8,295000345E-2	5,457000256E0	1,000305080E1
2,597666670E0	1,110000089E-1	5,148000240E0	9,307950020E0
2,617830113E0	-1,650000066E-1	5,902050495E0	8,700000763E0
2,637993803E0	4,080000222E-1	5,323050022E0	7,909950256E0
2,658157411E0	3,529500067E-1	5,347050190E0	7,483950138E0
2,678320856E0	2,260500044E-1	5,410950184E0	7,266000271E0
2,698484530E0	4,920000136E-1	5,337000370E0	6,820950508E0
2,718648135E0	7,459500432E-1	5,241000175E0	6,459000111E0
2,738811602E0	1,087950110E0	4,576050282E0	6,355950356E0
2,758975219E0	3,559500277E-1	5,133000374E0	7,350000381E0
2,779138710E0	-1,819500029E-1	4,984950066E0	8,644950867E0
2,799302329E0	-1,920000017E-1	4,434000015E0	1,032795048E1
2,819466019E0	1,500000060E-1	4,573050022E0	1,055400085E1
2,839629476E0	3,100500107E-1	4,711950302E0	9,370950699E0
2,859793161E0	2,020500153E-1	4,599000454E0	9,684000015E0
2,879956565E0	-3,105000220E-2	4,971000195E0	9,535950661E0
2,900120245E0	5,595000088E-2	5,095050335E0	9,637050629E0
2,920283856E0	2,890500128E-1	5,140950203E0	9,691950798E0
2,940447285E0	1,159500033E-1	5,550000191E0	8,776950836E0
2,960610978E0	-2,179500163E-1	5,670000076E0	8,502000809E0
2,980774611E0	-4,740000367E-1	5,919000149E0	8,077950478E0
3,000938078E0	-6,490500569E-1	5,884950161E0	7,924950600E0
3,021101727E0	-5,509500504E-1	5,590950489E0	7,764000416E0
3,041265189E0	-2,590500116E-1	5,335050106E0	8,083050728E0
3,061428874E0	-5,479500294E-1	5,665050507E0	8,584950447E0
3,081592505E0	-8,209500313E-1	5,835000515E0	8,037000656E0
3,101755963E0	-5,050500035E-1	5,607000351E0	7,800000191E0
3,121919643E0	-6,195000187E-2	5,362950325E0	7,672950268E0
3,142083254E0	4,750500321E-1	5,145000458E0	7,360050201E0
3,162246961E0	8,629500270E-1	4,879950047E0	7,327950478E0
3,182410418E0	7,410000563E-1	4,735949993E0	8,152050018E0
3,202574110E0	5,059500337E-1	4,686000347E0	8,619000435E0
3,222737716E0	-1,840500087E-1	5,100000381E0	8,698050499E0
3,242901167E0	-3,259500265E-1	5,023050308E0	8,629050255E0
3,263064865E0	-1,905000024E-2	5,113950253E0	8,217000008E0
3,283228504E0	2,910000086E-1	5,253000259E0	7,672950268E0
3,303391961E0	5,500500202E-1	5,341950417E0	7,266000271E0
3,323555566E0	5,950500369E-1	5,488050461E0	7,144050121E0
3,343719028E0	5,350500345E-1	5,518950462E0	7,209000111E0
3,363882739E0	2,719500065E-1	5,698050499E0	7,198950291E0
3,384046140E0	-7,660500407E-1	6,096000195E0	7,680000305E0
3,404209771E0	-1,420050025E0	6,283050060E0	8,182950020E0
3,424373233E0	-1,434000015E0	6,055050373E0	8,596950531E0
3,444536923E0	-1,045950055E0	5,833050251E0	9,174000740E0
3,464700535E0	-2,800500095E-1	5,476050377E0	9,196050644E0
3,484864231E0	4,939500093E-1	5,320050240E0	8,257050514E0
3,505027659E0	3,250500262E-1	5,428050041E0	8,204999924E0
3,525191275E0	1,450500041E-1	5,481000423E0	7,675950527E0
3,545354976E0	-1,960500032E-1	5,823000431E0	7,351950169E0
3,565518433E0	-7,519500256E-1	5,976000309E0	7,338000298E0
3,585682047E0	-1,288050056E0	6,237000465E0	7,494000435E0
3,605845495E0	-1,759950042E0	6,297000408E0	8,086950302E0
3,626009187E0	-1,264050007E0	5,694000244E0	8,820000648E0
3,646172809E0	-3,930000067E-1	5,344050407E0	9,121950150E0
3,666336259E0	4,750500321E-1	5,052000046E0	9,253050804E0
3,686499954E0	9,570000172E-1	5,104950428E0	8,640000343E0
3,706663581E0	8,320500255E-1	5,689050198E0	7,714050293E0
3,726827050E0	1,930500120E-1	5,959050179E0	7,531950474E0
3,746990740E0	-5,989500284E-1	6,333000183E0	7,630050182E0
3,767154355E0	-8,689500690E-1	6,010050297E0	8,077950478E0
3,787317802E0	-6,370500326E-1	5,389950275E0	8,154000282E0
3,807481417E0	-1,650000066E-1	4,827000141E0	7,957950592E0
3,827644891E0	2,220000178E-1	4,777050018E0	7,644000530E0
