"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
6,713867800E-2	-1,120625019E0	1,993750036E-2	-1,482249945E-1
8,730217300E-2	-7,874624729E-1	3,935250044E-1	4,977500066E-2
1,074658210E-1	-2,234375030E-1	2,870999873E-1	2,754124999E-1
1,276293190E-1	1,223749965E-1	-1,482249945E-1	4,063124955E-1
1,477930420E-1	4,042499885E-2	-4,237749875E-1	3,349500000E-1
1,679566680E-1	-2,447499931E-1	-4,610374868E-1	2,626250088E-1
1,881201380E-1	-5,938624740E-1	-2,886124849E-1	1,402499974E-1
2,082837760E-1	-2,512125075E-1	-1,002374962E-1	1,328250021E-1
2,284472380E-1	1,203124970E-1	1,487749964E-1	1,359875053E-1
2,486109110E-1	2,426874936E-1	1,934625059E-1	6,036249921E-2
2,687745210E-1	1,649999917E-1	1,115124971E-1	2,736249939E-2
2,889379590E-1	6,324999966E-3	-9,762499481E-3	2,213750035E-2
3,091015340E-1	-1,117874980E-1	-7,686249912E-2	2,956249937E-2
3,292649880E-1	-1,735250056E-1	-6,723749638E-2	5,939999968E-2
3,494286730E-1	-1,607374996E-1	-2,901249938E-2	1,050499976E-1
3,695922840E-1	-7,136250287E-2	-1,322750002E-1	1,157749966E-1
3,897557650E-1	-2,021249942E-2	-3,950375021E-1	7,535000145E-2
4,099193500E-1	-9,157499671E-2	-5,249750018E-1	1,787500083E-2
4,300830480E-1	-2,831124961E-1	-5,207124949E-1	-2,791249938E-2
4,502464890E-1	-3,916000128E-1	-4,035624862E-1	-3,643750027E-2
4,704100960E-1	-3,596999943E-1	-2,886124849E-1	-2,254999988E-2
4,905735570E-1	-2,883374989E-1	-1,715999991E-1	-1,306249946E-2
5,107371510E-1	-2,831124961E-1	-1,258125007E-1	-6,091250107E-2
5,309008220E-1	-2,756874859E-1	-1,152250022E-1	-1,098624989E-1
5,510642600E-1	-2,926000059E-1	7,631249726E-2	-1,832875013E-1
5,712278940E-1	-2,617999911E-1	2,626250088E-1	-2,259124964E-1
5,913913660E-1	-1,127500013E-1	2,114749998E-1	-2,385624945E-1
6,115549970E-1	7,548750192E-2	6,572499871E-2	-2,344374955E-1
6,317184780E-1	7,232499868E-2	-5,458749831E-2	-3,036000133E-1
6,518821170E-1	-6,489999592E-2	-3,533750027E-2	-3,588750064E-1
6,720457960E-1	-5,953750014E-2	1,787500083E-2	-3,759250045E-1
6,922092760E-1	1,160499975E-1	1,883750036E-2	-3,247750103E-1
7,123729020E-1	1,500124931E-1	-7,699999958E-3	-2,758249938E-1
7,325363580E-1	7,026249915E-2	-2,048750035E-2	-2,481874973E-1
7,527000700E-1	1,032624990E-1	-1,035374999E-1	-1,673374921E-1
7,728636900E-1	2,096875012E-1	-2,131250054E-1	-7,576250285E-2
7,930271710E-1	2,521750033E-1	-1,843875051E-1	-6,517499685E-2
8,131907670E-1	2,096875012E-1	-6,943749636E-2	-1,024374962E-1
8,333544630E-1	1,212750003E-1	2,309999987E-2	-7,796250284E-2
8,535178440E-1	5,004999787E-2	-2,158750035E-2	2,213750035E-2
8,736816250E-1	7,424999960E-3	-1,247124970E-1	7,961250097E-2
8,938450070E-1	6,063750014E-2	-1,854874939E-1	4,551250115E-2
9,140086340E-1	1,809500009E-1	-2,387000024E-1	1,677500084E-2
9,341721030E-1	1,979999989E-1	-2,908124924E-1	2,736249939E-2
9,543356990E-1	-7,424999960E-3	-2,928749919E-1	4,441250116E-2
9,744993760E-1	-3,053874969E-1	-5,032499880E-2	7,108750194E-2
9,946628610E-1	-3,947624862E-1	3,392125070E-1	1,135749966E-1
1,014826443E0	-1,447875053E-1	2,615250051E-1	1,604624987E-1
1,034989881E0	2,213750035E-1	-4,578749835E-1	8,387500048E-2
1,055153487E0	2,404875010E-1	-8,782125115E-1	9,666249901E-2
1,075316938E0	5,362499971E-3	-8,409500122E-1	1,700875014E-1
1,095480617E0	1,160499975E-1	-7,207750082E-1	3,786749840E-1
1,115644198E0	6,193000078E-1	-6,642624736E-1	5,956500173E-1
1,135807646E0	1,185524940E0	-6,280999780E-1	7,415375113E-1
1,155971360E0	1,594174981E0	-2,833875120E-1	8,937500119E-1
1,176134952E0	1,603799939E0	1,604624987E-1	9,862874746E-1
1,196298403E0	1,014199972E0	2,924624979E-1	1,221412539E0
1,216462031E0	3,682250082E-1	-2,003374994E-1	1,583312511E0
1,236625502E0	5,362499971E-3	-7,951624990E-1	1,640787482E0
1,256789158E0	-2,894375026E-1	-1,086799979E0	1,249187469E0
1,276952851E0	-5,821750164E-1	-9,134125113E-1	1,109762549E0
1,297116246E0	-7,587249875E-1	-2,142249942E-1	1,070299983E0
1,317279856E0	-6,331874728E-1	3,658874929E-1	7,830625176E-1
1,337443291E0	-2,310000062E-1	5,424374938E-1	3,870624900E-1
1,357606916E0	2,809124887E-1	3,679499924E-1	1,402499974E-1
1,377770615E0	6,852999926E-1	4,934875071E-1	1,413500011E-1
1,397934087E0	1,083362460E0	6,169624925E-1	4,732750058E-1
1,418097699E0	1,394112468E0	3,104749918E-1	6,234250069E-1
1,438261161E0	1,182362437E0	3,918749839E-2	3,616249859E-1
1,458424848E0	6,863999963E-1	1,539999992E-1	2,105125040E-1
1,478588233E0	3,224374950E-1	2,615250051E-1	1,337874979E-1
1,498752164E0	4,757499993E-1	3,445749879E-1	1,658249944E-1
1,518915558E0	6,109125018E-1	6,084374785E-1	3,382499889E-2
1,539079250E0	4,043875039E-1	3,179000020E-1	3,466374874E-1
1,559242690E0	2,501125038E-1	-1,002374962E-1	4,360125065E-1
1,579406284E0	2,245374918E-1	-2,337499987E-3	4,669499993E-1
1,599569731E0	3,298625052E-1	1,252624989E-1	6,169624925E-1
1,619733375E0	4,342249930E-1	2,190375030E-1	7,181624770E-1
1,639896871E0	3,693250120E-1	6,265875101E-1	6,510624886E-1
1,660060574E0	3,085500002E-1	9,032375216E-1	5,159000158E-1
1,680224187E0	3,522749841E-1	8,425999880E-1	4,254249930E-1
1,700387659E0	3,895374835E-1	5,956500173E-1	3,605250120E-1
1,720551282E0	2,831124961E-1	3,456749916E-1	2,381500006E-1
1,740714757E0	1,084875017E-1	1,457499992E-2	1,993750036E-2
1,760878452E0	4,688749835E-2	-3,184500039E-1	-1,343374997E-1
1,781042076E0	6,710000336E-2	-4,962374866E-1	-1,321374923E-1
1,801205503E0	1,297999918E-1	-5,504124761E-1	1,254000068E-1
1,821369182E0	3,852750063E-1	1,677500084E-2	3,562625051E-1
1,841532573E0	4,470124841E-1	3,488374949E-1	2,402125001E-1
1,861696198E0	4,149749875E-1	-1,992374957E-1	-2,322375029E-1
1,881859866E0	3,170749843E-1	-4,760249853E-1	-7,345250249E-1
1,902023338E0	2,479124963E-1	-7,313625216E-1	-8,079500198E-1
1,922187042E0	8,195000142E-2	-7,739874721E-1	-6,759499907E-1
1,942350644E0	5,101250112E-2	-7,782499790E-1	-5,376250148E-1
1,962514317E0	-3,409999982E-2	-6,175125241E-1	-4,195125103E-1
1,982677794E0	-9,473749995E-2	-4,993999898E-1	-3,216125071E-1
2,002841433E0	-2,447500080E-2	-5,418875217E-1	-2,875125110E-1
2,023004895E0	1,394249946E-1	-5,654000044E-1	-4,237749875E-1
2,043168520E0	4,437125027E-1	-4,430249929E-1	-5,025625229E-1
2,063332183E0	7,492374778E-1	-1,556500047E-1	-5,270375013E-1
2,083495630E0	8,087750077E-1	9,652499855E-2	-5,407875180E-1
2,103659240E0	5,491750240E-1	1,742125005E-1	-4,886749983E-1
2,123822717E0	1,287000030E-1	5,609999970E-2	-3,918749988E-1
2,143986322E0	-2,447499931E-1	-1,247124970E-1	-3,003000021E-1
2,164149798E0	-4,640625119E-1	-1,715999991E-1	-2,822875082E-1
2,184313404E0	-4,692874849E-1	-1,779250056E-1	-2,715624869E-1
2,204476858E0	-3,161124885E-1	-1,524875015E-1	-2,875125110E-1
2,224640529E0	-1,340624988E-1	-1,300749928E-1	-2,726624906E-1
2,244804135E0	-7,878749818E-2	-1,545500010E-1	-2,237125039E-1
2,264967841E0	-1,278750040E-2	-2,387000024E-1	-2,098249942E-1
2,285131231E0	1,522125006E-1	-2,641375065E-1	-2,205500007E-1
2,305294699E0	3,278000057E-1	-3,748250008E-1	-2,077624947E-1
2,325458399E0	3,372874856E-1	-6,579374671E-1	-2,513499856E-1
2,345622000E0	2,638624907E-1	-5,759875178E-1	-1,769624949E-1
2,365785462E0	1,192125008E-1	-4,663999975E-1	-1,375000030E-1
2,385949090E0	8,511249721E-2	-2,546499968E-1	-6,407500058E-2
2,406112569E0	1,203124970E-1	-1,482249945E-1	-4,276249930E-2
2,426276251E0	1,170125008E-1	-2,268749923E-1	-4,179999977E-2
2,446439879E0	2,337500080E-2	-2,066625059E-1	-6,833750010E-2
2,466603345E0	-7,878749818E-2	7,149999961E-3	-1,098624989E-1
2,486766963E0	-2,469500005E-1	1,923625022E-1	-4,606249928E-2
2,506930668E0	-4,757499993E-1	2,637250125E-1	5,513750017E-2
2,527094151E0	-6,428124905E-1	1,636250019E-1	9,336250275E-2
2,547257771E0	-6,523000002E-1	-3,107500076E-2	4,015000165E-2
2,567421228E0	-5,640249848E-1	-2,609750032E-1	-8,318749815E-2
2,587584914E0	-3,619000018E-1	-4,100250006E-1	-1,694000065E-1
2,607748514E0	-2,393874973E-1	-4,387624860E-1	-2,917749882E-1
2,627911957E0	6,324999966E-3	-4,217124879E-1	-1,237500012E-1
2,648075654E0	1,596374959E-1	-2,120250016E-1	-9,707500041E-2
2,668239022E0	2,213750035E-1	-1,407999992E-1	-8,648750186E-2
2,688402683E0	1,947000027E-1	-1,864500046E-1	-5,238749832E-2
