"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
4,169291700E-2	-4,104375076E1	-2,010000038E1	-4,271250153E1
6,171506400E-2	2,568750191E1	4,211250305E1	-4,415625000E1
8,177516900E-2	2,598750114E1	4,241250229E1	-4,428750229E1
1,018969750E-1	2,604375076E1	4,265625000E1	-4,451250076E1
1,220671970E-1	2,664375114E1	4,308750153E1	-4,451250076E1
1,422407980E-1	2,694375038E1	4,338750076E1	-4,440000153E1
1,623901200E-1	2,705625153E1	4,385625076E1	-4,415625000E1
1,824906380E-1	2,730000114E1	4,415625000E1	-4,410000229E1
2,025467760E-1	2,735625076E1	4,475625229E1	-4,410000229E1
2,225809570E-1	2,748750114E1	4,511250305E1	-4,410000229E1
2,425894030E-1	2,724375153E1	4,530000305E1	-4,385625076E1
2,625905660E-1	2,748750114E1	4,541250229E1	-4,368750000E1
2,825776920E-1	2,724375153E1	4,530000305E1	-4,361250305E1
3,025560350E-1	2,730000114E1	4,541250229E1	-4,391250229E1
3,223078640E-1	2,765625191E1	4,541250229E1	-4,428750229E1
3,423421410E-1	2,784375191E1	4,560000229E1	-4,440000153E1
3,623684770E-1	2,790000153E1	4,530000305E1	-4,428750229E1
3,824000620E-1	2,814375114E1	4,518750000E1	-4,445625305E1
4,024194430E-1	2,838750076E1	4,511250305E1	-4,470000076E1
4,224413540E-1	2,825625038E1	4,518750000E1	-4,481250000E1
4,422196250E-1	2,850000191E1	4,548750305E1	-4,518750000E1
4,620002350E-1	2,820000076E1	4,548750305E1	-4,530000305E1
4,818777430E-1	2,790000153E1	4,565625000E1	-4,518750000E1
5,017904060E-1	2,790000153E1	4,578750229E1	-4,535625076E1
5,217427210E-1	2,778750038E1	4,625625229E1	-4,565625000E1
5,417479570E-1	2,760000038E1	4,638750076E1	-4,560000229E1
5,617351610E-1	2,748750114E1	4,668750000E1	-4,560000229E1
5,817743240E-1	2,760000038E1	4,710000229E1	-4,535625076E1
6,018731630E-1	2,735625076E1	4,698750305E1	-4,518750000E1
6,220177070E-1	2,778750038E1	4,745625305E1	-4,488750076E1
6,421814120E-1	2,778750038E1	4,751250076E1	-4,511250305E1
6,623209670E-1	2,778750038E1	4,770000076E1	-4,530000305E1
6,824173590E-1	2,765625191E1	4,751250076E1	-4,505625153E1
7,024866760E-1	2,754375076E1	4,758750153E1	-4,505625153E1
7,225253450E-1	2,748750114E1	4,745625305E1	-4,505625153E1
7,425418600E-1	2,724375153E1	4,740000153E1	-4,505625153E1
7,625505940E-1	2,694375038E1	4,745625305E1	-4,481250000E1
7,825464810E-1	2,658750153E1	4,728750229E1	-4,505625153E1
8,025317800E-1	2,645625114E1	4,728750229E1	-4,505625153E1
8,225233710E-1	2,615625191E1	4,715625000E1	-4,488750076E1
8,425091080E-1	2,634375191E1	4,715625000E1	-4,505625153E1
8,622578030E-1	2,645625114E1	4,715625000E1	-4,535625076E1
8,823060360E-1	2,658750153E1	4,721250153E1	-4,530000305E1
9,023441290E-1	2,640000153E1	4,721250153E1	-4,541250229E1
9,223722520E-1	2,658750153E1	4,728750229E1	-4,541250229E1
9,421688680E-1	2,664375114E1	4,715625000E1	-4,541250229E1
9,622445010E-1	2,645625114E1	4,691250229E1	-4,548750305E1
9,823042940E-1	2,694375038E1	4,710000229E1	-4,560000229E1
1,002358716E0	2,694375038E1	4,710000229E1	-4,578750229E1
1,022398648E0	2,705625153E1	4,698750305E1	-4,590000153E1
1,042434829E0	2,700000191E1	4,721250153E1	-4,578750229E1
1,062456299E0	2,760000038E1	4,710000229E1	-4,601250076E1
1,082464690E0	2,808750153E1	4,710000229E1	-4,655625153E1
1,102475574E0	2,868750191E1	4,715625000E1	-4,668750000E1
1,122477482E0	2,945625114E1	4,751250076E1	-4,668750000E1
1,142473170E0	2,988750076E1	4,740000153E1	-4,668750000E1
1,162474433E0	3,048750114E1	4,698750305E1	-4,655625153E1
1,182471120E0	3,114375114E1	4,668750000E1	-4,661250305E1
1,202462547E0	3,198750114E1	4,578750229E1	-4,691250229E1
1,222464682E0	3,215625000E1	4,511250305E1	-4,685625076E1
1,242461901E0	3,245625305E1	4,440000153E1	-4,655625153E1
1,262464513E0	3,240000153E1	4,338750076E1	-4,655625153E1
1,282462434E0	3,245625305E1	4,205625153E1	-4,655625153E1
1,302456767E0	3,204375076E1	4,110000229E1	-4,668750000E1
1,322461273E0	3,210000229E1	4,061250305E1	-4,655625153E1
1,342459773E0	3,185625076E1	3,995625305E1	-4,625625229E1
1,362453627E0	3,174375153E1	3,995625305E1	-4,620000076E1
1,382456051E0	3,174375153E1	3,960000229E1	-4,595625305E1
1,402455678E0	3,150000191E1	3,911250305E1	-4,578750229E1
1,422450710E0	3,168750191E1	3,870000076E1	-4,560000229E1
1,442455103E0	3,168750191E1	3,810000229E1	-4,535625076E1
1,462453361E0	3,198750114E1	3,755625153E1	-4,488750076E1
1,482458604E0	3,215625000E1	3,678750229E1	-4,488750076E1
1,502459445E0	3,245625305E1	3,618750000E1	-4,481250000E1
1,522456931E0	3,275625229E1	3,510000229E1	-4,421250153E1
1,542460753E0	3,324375153E1	3,431250000E1	-4,385625076E1
1,562459618E0	3,335625076E1	3,365625000E1	-4,361250305E1
1,582455787E0	3,354375076E1	3,330000305E1	-4,331250000E1
1,602458430E0	3,378750229E1	3,288750076E1	-4,295625305E1
1,622456396E0	3,384375000E1	3,221250153E1	-4,290000153E1
1,642451956E0	3,378750229E1	3,168750191E1	-4,260000229E1
1,662476846E0	3,390000153E1	3,108750153E1	-4,200000000E1
1,682559969E0	3,378750229E1	3,060000038E1	-4,175625229E1
1,702284653E0	3,360000229E1	3,005625153E1	-4,128750229E1
1,722088155E0	3,384375000E1	2,945625114E1	-4,068750000E1
1,741939203E0	3,395625305E1	2,838750076E1	-4,001250076E1
1,761842330E0	3,414375305E1	2,820000076E1	-3,948750305E1
1,781832631E0	3,444375229E1	2,790000153E1	-3,900000000E1
1,801786594E0	3,474375153E1	2,741250038E1	-3,851250076E1
1,821825549E0	3,474375153E1	2,705625153E1	-3,845625305E1
